subsektor;komoditas;provinsi;tahun;produktivitas;luas_panen;kluster;silhouette_score_komoditas;prediksi_random_forest_2026;prediksi_xgboost_2026;prediksi_produksi_2026;c1_produksi_aktual_terakhir;c2_luas_panen;c3_produktivitas;c4_prediksi_produksi;c5_prediksi_produktivitas;c6_pertumbuhan_produksi;nilai_topsis;ranking_topsis_global;ranking_topsis_per_komoditas
Perkebunan;Kayu Manis;Kalimantan Selatan;2026;1445;2829,777778;1;0,507886572;2838,682902;3345,049805;3345,049805;2,333333333;258;0,304444444;-1471,14624;0,304444444;-63149,12458;0,000120755;1318;24
Perkebunan;Kelapa;Kalimantan Selatan;2026;898,6977778;36507,33333;1;0,299446572;24310,57761;27570,29688;27570,29688;17;82;0,306666667;-1446,784302;0,306666667;-8610,495893;0,000111371;1323;25
Perkebunan;Kelapa Sawit;Kalimantan Selatan;2026;5671;479983,6667;4;0,369209793;1313572,317;1273714,75;1273714,75;2,333333333;43,88888889;0,097777778;-1446,784302;0,097777778;-62105,0415;0,000110261;1326;26
Perkebunan;Kemiri;Kalimantan Selatan;2026;576,5555556;2947;2;0,379593335;1392,473331;1372,532349;1372,532349;0,5;10,44444444;0,056666667;-1446,784302;0,056666667;-289456,8604;0,000109907;1327;27
Perkebunan;Kopi Arabica;Kalimantan Selatan;2026;0;0;3;0,405448294;0;-448,2593994;-448,2593994;220,6666667;288,1111111;1032,333333;2067,137695;1032,333333;836,7693483;0,024767391;190;1
Perkebunan;Kopi Robusta;Kalimantan Selatan;2026;624,4444444;2320,333333;1;0,332957999;839,0113104;1325,520386;1325,520386;176,3333333;259,4444444;1023,111111;723,8894653;1023,111111;310,5233263;0,024549111;193;2
Perkebunan;Lada;Kalimantan Selatan;2026;621,1111111;345,2222222;1;0,34142663;116,5077656;-748,3870239;-748,3870239;3;6,666666667;724,8888889;-949,7128296;724,8888889;-31757,09432;0,017492786;268;3
Perkebunan;Pala;Kalimantan Selatan;2026;0;0;2;0,376517578;0;-448,2593994;-448,2593994;15;23,11111111;620,5555556;-1151,912231;620,5555556;-7779,414876;0,015005357;319;4
Perkebunan;Panili;Kalimantan Selatan;2026;0;0;3;0,337091575;0;-448,2593994;-448,2593994;32,33333333;132,5555556;450,5555556;-835,9613647;450,5555556;-2685,44752;0,010931286;403;5
Perkebunan;Sagu;Kalimantan Selatan;2026;1290,888889;4214;1;0,423813304;2266,501273;3850,75708;3850,75708;477;3200,666667;376;473,6359253;376;-0,705256752;0,00916335;436;6
Perkebunan;Tebu;Kalimantan Selatan;2026;0;0;4;0,523048354;0;-514,9988403;-514,9988403;3;22;358,2222222;-875,0471802;358,2222222;-29268,23934;0,008706815;448;7
