subsektor;komoditas;provinsi;tahun;produktivitas;luas_panen;kluster;silhouette_score_komoditas;prediksi_random_forest_2026;prediksi_xgboost_2026;prediksi_produksi_2026;c1_produksi_aktual_terakhir;c2_luas_panen;c3_produktivitas;c4_prediksi_produksi;c5_prediksi_produktivitas;c6_pertumbuhan_produksi;nilai_topsis;ranking_topsis_global;ranking_topsis_per_komoditas
Pangan;Kacang Tanah;Maluku;2026;13,08990213;768,3333333;2;0,46112208;994,4953947;-31,45819473;-31,45819473;0;0;0;-448,2593994;0;0;0,000156684;1302;34
Pangan;Kacang Tanah;Maluku Utara;2026;13,07777778;538;2;0,46112208;662,5504282;-262,1034241;-262,1034241;5075,333333;22246,77778;249,8888889;6258,620117;249,8888889;23,31446441;0,007578051;487;7
Pangan;Kacang Tanah;Nusa Tenggara Barat;2026;16,89855996;13980,33333;2;0,46112208;24579,5998;30315,8125;30315,8125;17;145,2222222;240,3333333;-877,7391357;240,3333333;-5263,171387;0,005855776;554;14
Pangan;Kacang Tanah;Nusa Tenggara Timur;2026;9,564460866;7242;2;0,46112208;6458,731894;8749,175781;8749,175781;37,33333333;627,1111111;70,11111111;-251,1294403;70,11111111;-772,6681437;0,001726131;900;21
Pangan;Kacang Tanah;Papua;2026;8,302217195;144;3;0,46112208;207,2331733;-627,144165;-627,144165;0;0;0;-448,2593994;0;0;0,000156684;1302;25
Pangan;Kacang Tanah;Papua Barat;2026;13,28;61;2;0,46112208;77,94115225;-369,1360779;-369,1360779;680724;784593,5556;2034,555556;688093,125;2034,555556;1,082542264;0,167931701;27;1
Pangan;Kacang Tanah;Riau;2026;13,01100457;348,6666667;2;0,46112208;477,6316091;-365,3742981;-365,3742981;98450;143339,1111;1633,111111;92671,90625;1633,111111;-5,869064246;0,048891369;90;8
Pangan;Kacang Tanah;Sulawesi Barat;2026;10,53252525;235;2;0,46112208;193,9034356;-306,6873779;-306,6873779;17224;19632;1265,555556;18310,55859;1265,555556;6,30839871;0,0305923;150;15
Pangan;Kacang Tanah;Sulawesi Selatan;2026;13,05013422;8669;2;0,46112208;9904,618352;12114,8291;12114,8291;683,6666667;6395,555556;319;2027,827759;319;196,6105937;0,007874709;474;22
Pangan;Kacang Tanah;Sulawesi Tengah;2026;13,40952912;1233,666667;2;0,46112208;1442,874992;610,6025391;610,6025391;0;0;0;-448,2593994;0;0;0,000156684;1302;26
Pangan;Kacang Tanah;Sulawesi Tenggara;2026;8,331370352;2381;3;0,46112208;1942,386999;2444,448242;2444,448242;2835;2829,777778;1445;3345,049805;1445;17,99117477;0,034409532;135;2
Pangan;Kacang Tanah;Sulawesi Utara;2026;14,8795782;1075,333333;2;0,46112208;1468,079678;608,5247803;608,5247803;82,33333333;294;500,2222222;-129,6731873;500,2222222;-257,4977983;0,012125459;373;9
Pangan;Kacang Tanah;Sumatera Barat;2026;13,98531136;2170,666667;2;0,46112208;2874,283617;1678,420654;1678,420654;0,023333333;16,11111111;23,66666667;-413,0398865;23,66666667;-1770270,942;0,000600133;1094;16
Pangan;Kacang Tanah;Sumatera Selatan;2026;14,23608501;874;2;0,46112208;1189,888166;-31,45819473;-31,45819473;0;0;0;-448,2593994;0;0;0,000156684;1302;17
Pangan;Kacang Tanah;Sumatera Utara;2026;13,84876801;4381,333333;2;0,46112208;5271,845417;8264,016602;8264,016602;0;0;0;-448,2593994;0;0;0,000156684;1302;17
Pangan;Kedelai;Aceh;2026;15,65137255;3910,333333;1;0,346757017;5868,963764;5727,640137;5727,640137;3737,333333;2906,555556;2044,666667;4826,269531;2044,666667;29,13671596;0,048121085;91;4
Pangan;Kedelai;Bali;2026;18,31333333;1481,666667;1;0,346757017;2023,109444;2229,168213;2229,168213;17,33333333;79,66666667;1480,222222;-1257,479858;1480,222222;-7354,691491;0,035199085;128;11
Pangan;Kedelai;Banten;2026;16,79206897;2225,666667;1;0,346757017;4040,493177;2388,55127;2388,55127;110,6666667;250,1111111;769,5555556;-928,8779907;769,5555556;-939,347582;0,018555291;256;18
Pangan;Kedelai;Bengkulu;2026;17,52;393;1;0,346757017;645,9188089;-216,589859;-216,589859;49;661,1111111;196,6666667;-623,4932861;196,6666667;-1372,435278;0,004798978;598;25
Pangan;Kedelai;Daerah Istimewa Yogyakarta;2026;13,55319728;4325,333333;1;0,346757017;4420,890519;6337,458984;6337,458984;0;0;0;-514,9988403;0;0;0,000153554;1312;30
Pangan;Kedelai;Daerah Khusus Ibukota Jakarta;2026;0;0;4;0,346757017;0;-425,5811768;-425,5811768;13951;34912,66667;583,7777778;13066,24414;583,7777778;-6,341881294;0,015838575;299;5
Pangan;Kedelai;Gorontalo;2026;10,36666667;1617;4;0,346757017;3608,724713;2486,263184;2486,263184;4080,666667;19445,44444;425,4444444;4228,994629;425,4444444;3,634895333;0,011064603;398;12
Pangan;Kedelai;Jambi;2026;17,31037037;1202,333333;1;0,346757017;2655,149614;650,8208618;650,8208618;1,666666667;7;387,2222222;-968,8771362;387,2222222;-58232,62817;0,009406149;431;19
Pangan;Kedelai;Jawa Barat;2026;15,54549083;12414,66667;1;0,346757017;23798,57754;48674,10156;48674,10156;143,3333333;1384,222222;284,6666667;180,4471588;284,6666667;25,89336661;0,006937417;510;26
Pangan;Kedelai;Jawa Tengah;2026;18,80571627;28966;1;0,346757017;37770,18823;45685,49219;45685,49219;0;0;0;-514,9988403;0;0;0,000153554;1312;32
Pangan;Kedelai;Jawa Timur;2026;17,21954702;40617,66667;1;0,346757017;66116,07835;49261,33984;49261,33984;1078,666667;3019,222222;590,2222222;1299,805298;590,2222222;20,5011092;0,014301208;331;6
Pangan;Kedelai;Kalimantan Barat;2026;15,25333333;32,33333333;1;0,346757017;42,56804775;-369,1360779;-369,1360779;2207;8144,333333;323;2033,604248;323;-7,856626731;0,008036332;465;13
Pangan;Kedelai;Kalimantan Selatan;2026;16,34304348;840,6666667;1;0,346757017;1583,923583;14,05539227;14,05539227;0;0;0;1119,9375;0;0;0,000230262;1273;20
Pangan;Kedelai;Kalimantan Tengah;2026;15,78666667;49;1;0,346757017;167,1446311;-369,1360779;-369,1360779;0;0;0;-448,2593994;0;0;0,000156684;1302;22
Pangan;Kedelai;Kalimantan Timur;2026;16,29787879;13,66666667;1;0,346757017;27,33804778;-323,622467;-323,622467;0;0;0;-1712,400879;0;0;9,74429E-05;1328;25
Pangan;Kedelai;Kalimantan Utara;2026;9,813333333;44;4;0,346757017;77,51864648;-716,862915;-716,862915;4690;13465,22222;1114,333333;5851,308594;1114,333333;24,76137727;0,026875745;175;7
Pangan;Kedelai;Kepulauan Bangka Belitung;2026;5,32;0;1;0,346757017;1,42832;-1366,032959;-1366,032959;5475;16680,66667;745,3333333;5181,550293;745,3333333;-5,359812001;0,018328222;261;14
Pangan;Kedelai;Kepulauan Riau;2026;5,416666667;1;4;0,346757017;2,274486737;-600,72229;-600,72229;1940;4958,777778;575,5555556;1510,101929;575,5555556;-22,1596944;0,013976649;336;21
Pangan;Kedelai;Lampung;2026;19,17298246;2558,666667;1;0,346757017;4736,177517;3064,058105;3064,058105;890,6666667;3451,888889;455,6666667;1030,624268;455,6666667;15,7138025;0,011082528;397;28
Pangan;Kedelai;Maluku;2026;15,96185185;75,66666667;1;0,346757017;101,52307;-323,622467;-323,622467;11398,66667;36706,11111;886,4444444;9589,951172;886,4444444;-15,86778127;0,02263977;210;1
Pangan;Kedelai;Maluku Utara;2026;15,53333333;16;1;0,346757017;27,83778444;-369,1360779;-369,1360779;63,33333333;310,3333333;299,7777778;-932,1795654;299,7777778;-1571,862472;0,00729538;494;8
Pangan;Kedelai;Nusa Tenggara Barat;2026;14,96188976;11307;1;0,346757017;11882,85813;20668,95117;20668,95117;115,3333333;691,7777778;222,7777778;-766,2875977;222,7777778;-764,4112118;0,005432365;567;15
Pangan;Kedelai;Nusa Tenggara Timur;2026;12,54611621;3217,333333;1;0,346757017;4232,681449;3304,650635;3304,650635;0,333333333;32;59,33333333;-791,5299683;59,33333333;-237558,9905;0,001457077;934;22
Pangan;Kedelai;Papua;2026;15,98859649;23,66666667;1;0,346757017;31,56280002;-323,622467;-323,622467;0;0;0;-448,2593994;0;0;0,000156684;1302;25
