subsektor;komoditas;provinsi;tahun;kluster;silhouette_score_komoditas;c1_produksi_aktual_terakhir;c2_luas_panen;c3_produktivitas;c4_prediksi_produksi;c5_prediksi_produktivitas;c6_pertumbuhan_produksi;nilai_topsis;ranking_topsis_global;ranking_topsis_per_komoditas;produktivitas;luas_panen;prediksi_random_forest_2026;prediksi_xgboost_2026;prediksi_produksi_2026;pertumbuhan_produksi_2026;prediksi_produktivitas_2026
Hortikultura;Bawang Merah;Lampung;2026;3;0,351342382;4351,517667;258,8733333;73,42111111;28873,18945;73,42111111;563,5199869;0,00299815;941;12;80,15222222;541,3411111;12519,69599;16341,5498;16341,5498;33,95867342;80,15222222
Hortikultura;Bawang Merah;Maluku;2026;3;0,351342382;1097,923333;201,1177778;28,94888889;-3718,66333;28,94888889;-438,6997268;0,001839972;1278;31;34,29444444;282,7555556;6355,140168;1291,62439;1291,62439;-68,54197155;34,29444444
Hortikultura;Bawang Merah;Maluku Utara;2026;3;0,351342382;361,3006667;228,4666667;26,84555556;-4058,685547;26,84555556;-1223,354015;0,001811163;1297;32;53,42111111;62,51333333;6188,358879;-731,5725708;731,5725708;-120,6506644;53,42111111
Hortikultura;Bawang Merah;Nusa Tenggara Barat;2026;4;0,351342382;3540,263333;17278,45111;108,45;11423,69531;108,45;222,679254;0,00516939;716;8;122,9355556;191,0111111;76343,66471;41075,28516;41075,28516;-41,92847371;122,9355556
Hortikultura;Bawang Merah;Nusa Tenggara Timur;2026;3;0,351342382;3734,502667;1407,49;67,66;5310,151367;67,66;42,19166088;0,002593071;999;16;63,01444444;598,6455556;12099,43188;6562,120605;6562,120605;-51,08239745;63,01444444
Hortikultura;Bawang Merah;Papua;2026;3;0,351342382;1151,144333;69,83333333;49,61;-419,0065613;49,61;-136,3991334;0,002174658;1100;24;47,42777778;162,0177778;5449,346553;3483,356445;3483,356445;1,360730513;47,42777778
Hortikultura;Bawang Merah;Papua Barat;2026;3;0,351342382;1706,229;150,8477778;15,93333333;-1920,168579;15,93333333;-212,5387377;0,001751579;1381;34;76,23222222;153,6922222;5254,833941;-2187,411133;2187,411133;-178,0343812;76,23222222
Hortikultura;Bawang Merah;Riau;2026;3;0,351342382;22,35666667;56,31444444;50,36888889;2000,863403;50,36888889;8849,739392;0,00221857;1081;23;18,02333333;9,871111111;6339,526369;70715,72656;70715,72656;943,9715938;18,02333333
Hortikultura;Bawang Merah;Sulawesi Barat;2026;3;0,351342382;13,79333333;506,5666667;18,93444444;-1858,099731;18,93444444;-13570,99854;0,001773501;1335;33;10,30666667;13,42222222;6502,878777;10198,19238;10198,19238;191,901319;10,30666667
Hortikultura;Bawang Merah;Sulawesi Selatan;2026;4;0,351342382;5516,179667;17193,17;124,4222222;20517,07422;124,4222222;271,9435453;0,005474339;690;7;102,8766667;537,3611111;35381,36746;21351,71484;21351,71484;-27,73258518;102,8766667
